一 1735147 
丁 12901 
七 33780 
万 269222 
丈 10584 
三 282292 
上 841236 
下 430320 
不 1082638 
与 392466 
丐 461 
丑 3116 
专 204711 
且 57083 
丕 223 
世 119707 
丘 2762 
丙 1968 
业 871140 
丛 3056 
东 243003 
丝 24740 
丞 195 
丢 7554 
两 248724 
严 131495 
丧 5522 
丨 401 
个 702588 
丫 527 
中 1413098 
丰 36958 
串 5137 
临 53108 
丶 50 
丸 1991 
丹 17592 
为 998997 
主 435101 
丽 35488 
举 141247 
丿 2 
乃 7637 
久 29446 
么 116638 
义 92969 
之 289144 
乌 14065 
乍 623 
乎 25229 
乏 13073 
乐 93088 
乒 2607 
乓 1888 
乔 7875 
乖 1127 
乘 33683 
乙 3292 
乜 22 
九 30426 
乞 1539 
也 386515 
习 142605 
乡 88040 
书 191244 
乩 2 
买 72543 
乱 21211 
乳 9758 
乾 1952 
了 1156657 
予 43794 
争 78242 
事 402176 
二 176625 
于 449919 
亏 6190 
云 67713 
互 103478 
亓 60 
五 122342 
井 13136 
亘 257 
亚 86023 
些 171731 
亟 2344 
亡 36115 
亢 585 
交 286753 
亥 552 
亦 8305 
产 435678 
亨 1562 
亩 12958 
享 55579 
京 191296 
亭 4794 
亮 37852 
亲 81272 
亳 217 
亵 1077 
人 1513584 
亻 2 
亿 99833 
什 57553 
仁 11855 
仂 3 
仃 79 
仄 136 
仅 81510 
仆 698 
仇 2486 
仉 4 
今 207893 
介 89514 
仍 49462 
从 281417 
仑 1274 
仓 10583 
仔 6591 
仕 2433 
他 405055 
仗 3954 
付 50166 
仙 7370 
仝 99 
仞 49 
仟 116 
仡 49 
代 220091 
令 41517 
以 627163 
仨 261 
仪 26370 
仫 18 
们 366980 
仰 5794 
仲 14490 
仵 29 
件 209361 
价 164850 
任 299074 
份 87063 
仿 6574 
企 233622 
伉 65 
伊 30127 
伍 23064 
伎 360 
伏 7930 
伐 6671 
休 34924 
众 159589 
优 131372 
伙 30291 
会 866704 
伛 1 
伞 2941 
伟 34957 
传 172728 
伢 123 
伤 68499 
伥 13 
伦 18112 
伧 2 
伪 6929 
伫 124 
伯 12925 
估 20527 
伲 19 
伴 28260 
伶 551 
伸 10355 
伺 753 
似 28724 
伽 1204 
佃 80 
但 199983 
位 284499 
低 91442 
住 114924 
佐 2023 
佑 1454 
体 432101 
何 109601 
佗 144 
佘 490 
余 75844 
佚 79 
佛 31537 
作 740016 
佝 68 
佞 10 
佟 583 
你 102547 
佣 1484 
佤 86 
佥 7 
佩 5943 
佬 1067 
佯 133 
佰 403 
佳 25292 
佴 8 
佶 65 
佻 34 
佼 829 
佾 14 
使 131018 
侃 1720 
侄 1199 
侈 1781 
侉 5 
例 73916 
侍 507 
侏 135 
侑 11 
侔 7 
侗 1118 
供 147487 
依 106621 
侠 2970 
侣 2708 
侥 1344 
侦 18120 
侧 27776 
侨 20441 
侩 9 
侪 27 
侬 169 
侮 1052 
侯 6251 
侵 19664 
便 79169 
促 61965 
俄 34497 
俅 15 
俊 11696 
俎 87 
俏 950 
俐 427 
俑 549 
俗 13107 
俘 541 
俚 70 
保 352612 
俞 3071 
俟 28 
信 277714 
俣 25 
俦 1 
俨 642 
俩 5194 
俪 286 
俭 2130 
修 68291 
俯 1128 
俱 7903 
俳 1 
俸 74 
俺 493 
俾 109 
倌 76 
倍 23632 
倏 49 
倒 29565 
倔 261 
倘 697 
候 57482 
倚 542 
倜 9 
借 38336 
倡 11856 
倥 5 
倦 791 
倨 11 
倩 2473 
倪 3811 
倬 32 
倭 64 
倮 26 
债 20438 
值 94521 
倾 12168 
偃 152 
假 65435 
偈 8 
偌 184 
偎 126 
偏 18022 
偕 173 
做 173199 
停 72238 
健 86342 
偬 5 
偶 9010 
偷 14040 
偻 66 
偾 8 
偿 27810 
傀 66 
傅 11576 
傈 56 
傍 2689 
傣 212 
傥 8 
傧 2 
储 17854 
傩 339 
催 5503 
傲 3035 
傻 1587 
像 47420 
僖 20 
僚 974 
僧 1268 
僭 28 
僮 7 
僳 58 
僵 3249 
僻 1056 
儆 130 
儇 1 
儋 216 
儒 2306 
儡 66 
儿 133069 
兀 190 
允 8241 
元 301568 
兄 6647 
充 64445 
兆 3817 
先 170104 
光 92257 
克 82149 
免 60789 
兑 5545 
兔 2155 
兖 128 
党 258789 
兜 2874 
兢 829 
入 307209 
全 674141 
八 49438 
公 646606 
六 49895 
兮 438 
兰 46378 
共 241474 
关 447034 
兴 65275 
兵 37709 
其 324335 
具 111376 
典 31522 
兹 4396 
养 91229 
兼 15615 
兽 3280 
冀 5389 
内 305277 
冈 4691 
冉 2025 
册 18094 
再 111729 
冒 14773 
冕 868 
冗 294 
写 38302 
军 158228 
农 152447 
冠 20081 
冢 96 
冤 2575 
冥 662 
冬 16166 
冯 8995 
冰 24090 
冲 33148 
决 172294 
况 116047 
冶 2117 
冷 24781 
冻 8021 
冼 996 
冽 159 
净 18764 
凄 298 
准 150805 
凇 126 
凉 9053 
凋 311 
凌 17792 
减 60093 
凑 2334 
凛 325 
凝 10337 
几 91799 
凡 13207 
凤 15747 
凫 81 
凭 12452 
凯 11993 
凰 5547 
凳 1186 
凶 5288 
凸 4075 
凹 1065 
出 713684 
击 69897 
凼 87 
函 4343 
凿 853 
刀 14057 
刁 654 
刃 1143 
分 455729 
切 65019 
刈 24 
刊 8981 
刍 20 
刎 13 
刑 45321 
划 131047 
刖 1 
列 85292 
刘 78528 
则 89220 
刚 43428 
创 298597 
初 65619 
删 2337 
判 61488 
刨 507 
利 240554 
别 133788 
刮 3561 
到 701526 
刳 1 
制 349782 
刷 13826 
券 16278 
刹 2741 
刺 11973 
刻 38343 
刽 22 
剀 3 
剁 381 
剂 9772 
剃 439 
削 2752 
剌 20 
前 432282 
剐 320 
剑 8938 
剔 1038 
剖 2477 
剜 20 
剡 21 
剥 3067 
剧 46650 
剩 12195 
剪 4336 
副 103057 
割 4944 
剽 111 
剿 440 
劈 429 
劓 1 
力 460171 
劝 7945 
办 235398 
功 83313 
加 386121 
务 422477 
劢 4 
劣 7813 
动 585505 
助 125988 
努 34334 
劫 8286 
劬 25 
劭 96 
励 38198 
劲 11515 
劳 33609 
劾 747 
势 101800 
勃 4763 
勇 26349 
勉 3190 
勋 2345 
勐 250 
勒 10907 
勖 100 
勘 4281 
募 9277 
勤 18220 
勰 6 
勺 610 
勾 2844 
勿 2342 
匀 1118 
包 114218 
匆 3014 
匈 1212 
匍 106 
匏 6 
匐 106 
匕 328 
化 453461 
北 240188 
匙 2522 
匝 946 
匠 6612 
匡 738 
匣 571 
匪 1975 
匮 848 
匹 5176 
区 578211 
医 201525 
匾 638 
匿 2070 
十 177430 
千 50904 
卅 30 
升 127679 
午 86917 
卉 2347 
半 66251 
华 218621 
协 140734 
卑 991 
卒 674 
卓 6282 
单 160349 
卖 45649 
南 325947 
博 66347 
卜 2903 
卞 393 
卟 10 
占 55627 
卡 68937 
卢 9781 
卣 9 
卤 655 
卦 715 
卧 4054 
卫 75357 
卮 1 
卯 265 
印 44633 
危 38231 
即 83470 
却 50654 
卵 1455 
卷 16510 
卸 3104 
卺 15 
卿 2909 
厂 34312 
厄 2782 
厅 51334 
历 87748 
厉 7694 
压 47228 
厌 1564 
厍 2 
厕 5708 
厘 5831 
厚 17492 
厝 291 
原 390600 
厢 4096 
厥 477 
厦 11725 
厨 8446 
厩 24 
厮 424 
去 207086 
县 167824 
叁 185 
参 146177 
又 82809 
叉 3378 
及 273791 
友 103443 
双 82276 
反 114386 
发 917990 
叔 5496 
取 161925 
受 224139 
变 117847 
叙 11734 
叛 1227 
叟 59 
叠 4268 
口 177673 
古 53252 
句 13355 
另 50547 
叨 557 
叩 281 
只 133240 
叫 20665 
召 41147 
叭 861 
叮 2142 
可 379524 
台 241182 
叱 125 
史 66701 
右 40300 
叵 54 
叶 19886 
号 120517 
司 242889 
叹 4581 
叻 88 
叼 123 
叽 145 
吁 8430 
吃 49996 
各 225195 
吆 387 
合 443975 
吉 26404 
吊 5386 
同 396619 
名 326852 
后 478125 
吏 471 
吐 6382 
向 231364 
吒 57 
吓 4821 
吕 6364 
吖 15 
吗 21344 
君 10905 
吝 287 
吞 3219 
吟 809 
吠 87 
吡 37 
否 45902 
吧 18293 
吨 13373 
吩 82 
含 33139 
听 51029 
吭 163 
吮 108 
启 60423 
吱 214 
吲 11 
吴 33156 
吵 3659 
吸 43456 
吹 6247 
吻 2172 
吼 636 
吾 2205 
呀 1920 
呃 44 
呆 2960 
呈 16098 
告 161633 
呋 69 
呐 1031 
呓 15 
呔 2 
呕 1100 
呖 2 
呗 393 
员 425097 
呙 29 
呛 565 
呜 184 
呢 17659 
呤 68 
呦 729 
周 131864 
呱 498 
呲 33 
味 38718 
呵 2390 
呷 103 
呸 10 
呻 138 
呼 26974 
命 66643 
咀 674 
咂 52 
咄 253 
咆 126 
咋 2239 
和 972688 
咎 905 
咏 1385 
咐 588 
咒 868 
咔 178 
咕 601 
咖 5484 
咙 328 
咚 582 
咛 65 
咝 2 
咣 75 
咤 97 
咦 108 
咧 453 
咨 17436 
咩 49 
咪 1205 
咫 220 
咬 4559 
咭 31 
咯 395 
咱 1965 
咳 1396 
咸 10243 
咻 271 
咽 1793 
咿 106 
哀 2563 
品 325593 
哂 7 
哄 1352 
哆 544 
哇 670 
哈 21424 
哉 299 
哌 13 
响 90024 
哎 360 
哏 27 
哐 90 
哑 1209 
哒 827 
哓 1 
哔 38 
哗 962 
哙 5 
哚 26 
哝 18 
哞 5 
哟 421 
哥 19280 
哦 1926 
哧 81 
哨 1431 
哩 173 
哪 30382 
哭 6672 
哮 659 
哲 7277 
哳 1 
哺 1206 
哼 307 
哽 504 
唁 263 
唆 322 
唇 1281 
唉 150 
唏 338 
唐 19500 
唑 137 
唔 83 
唛 59 
唠 444 
唢 336 
唤 3976 
唧 45 
唬 357 
售 65121 
唯 15131 
唰 34 
唱 16936 
唳 36 
唷 3 
唾 338 
唿 2 
啁 10 
啃 1568 
啄 215 
商 261569 
啉 61 
啊 7693 
啐 1 
啕 139 
啖 100 
啜 59 
啡 3557 
啤 3807 
啥 5355 
啦 5222 
啧 250 
啪 492 
啬 131 
啭 4 
啮 37 
啵 17 
啶 34 
啷 40 
啸 1006 
啻 71 
啼 368 
啾 46 
喀 2681 
喁 12 
喂 2818 
喃 290 
善 94464 
喇 1160 
喈 1 
喉 1721 
喊 7167 
喋 120 
喏 19 
喑 10 
喔 134 
喘 1306 
喙 59 
喜 38661 
喝 14667 
喟 29 
喧 1023 
喱 130 
喳 105 
喵 879 
喷 5862 
喹 23 
喻 3079 
喽 121 
喾 5 
嗄 3 
嗅 636 
嗌 1 
嗍 3 
嗑 215 
嗒 288 
嗓 755 
嗔 38 
嗖 130 
嗜 413 
嗝 41 
嗟 28 
嗡 342 
嗣 264 
嗤 84 
嗥 6 
嗦 188 
嗨 1235 
嗪 33 
嗫 15 
嗬 7 
嗯 380 
嗲 98 
嗳 12 
嗵 22 
嗷 156 
嗽 855 
嘀 467 
嘁 3 
嘈 290 
嘉 19495 
嘌 71 
嘎 553 
嘏 1 
嘘 742 
嘛 1638 
嘞 37 
嘟 709 
嘣 27 
嘤 39 
嘧 16 
嘬 9 
嘭 82 
嘱 2806 
嘲 1058 
嘴 6925 
嘶 216 
嘹 220 
嘻 687 
嘿 366 
噌 68 
噍 1 
噎 107 
噔 79 
噗 58 
噘 2 
噙 46 
噜 207 
噢 189 
噤 58 
器 64862 
噩 641 
噪 3409 
噫 4 
噬 301 
噱 547 
噶 120 
噻 54 
噼 138 
嚅 13 
嚆 1 
嚎 224 
嚏 157 
嚓 115 
嚣 1202 
嚯 22 
嚷 418 
嚼 750 
囊 3803 
囔 61 
囗 12 
囚 1103 
四 140587 
囝 2 
回 157210 
囟 3 
因 206726 
囡 65 
团 158059 
囤 619 
囫 58 
园 117281 
困 70252 
囱 315 
围 83431 
囵 58 
囹 103 
固 25604 
国 1252788 
图 96706 
囿 206 
圃 568 
圄 103 
圆 15563 
圈 27271 
圉 1 
圜 31 
土 81885 
圣 10457 
在 1483243 
圩 1271 
圪 63 
圬 2 
圭 777 
圮 3 
地 686640 
圳 73584 
圹 1 
场 393540 
圻 35 
圾 15941 
址 14878 
坂 682 
均 90556 
坊 7924 
坌 14 
坍 1798 
坎 2879 
坏 18060 
坐 26474 
坑 5652 
块 30101 
坚 113285 
坛 20901 
坜 54 
坝 7465 
坞 1414 
坟 1372 
坠 5833 
坡 17333 
坤 3379 
坦 16585 
坨 320 
坩 6 
坪 9646 
坭 292 
坯 553 
坳 607 
坷 335 
坻 46 
坼 6 
垂 4453 
垃 15947 
垄 2836 
垅 135 
垆 33 
型 126227 
垌 25 
垒 2544 
垓 23 
垛 206 
垠 178 
垡 92 
垢 393 
垣 654 
垤 7 
垦 1521 
垧 6 
垩 39 
垫 3719 
垭 346 
垮 2005 
垴 24 
垸 1411 
埂 220 
埃 11556 
埋 5668 
城 286821 
埒 3 
埔 4273 
埕 103 
埘 1 
埙 23 
埚 6 
埝 29 
域 117003 
埠 1926 
埤 16 
埭 97 
埴 1 
埸 4 
培 69970 
基 235156 
堀 20 
堂 29413 
堆 8095 
堇 26 
堍 8 
堑 120 
堕 521 
堙 1 
堞 8 
堠 7 
堡 7152 
堤 7539 
堪 5785 
堰 3030 
堵 16480 
塄 28 
塌 8748 
塍 10 
塑 11866 
塔 17070 
塘 11010 
塞 14516 
填 12767 
塬 350 
塾 143 
墀 10 
墁 9 
境 125431 
墅 2998 
墉 211 
墒 120 
墓 9224 
墙 16474 
墚 2 
增 207515 
墟 1370 
墨 8547 
墩 1558 
壁 8217 
壅 17 
壑 240 
壕 345 
壤 7338 
士 112221 
壬 65 
壮 11145 
声 72010 
壳 3471 
壶 1678 
壹 2477 
处 221736 
备 111173 
复 88237 
夏 30092 
夔 51 
夕 8173 
外 296072 
夙 322 
多 525579 
夜 33554 
够 46552 
夥 1 
大 1141557 
天 370158 
太 67488 
夫 45137 
夭 480 
央 96546 
夯 2925 
失 87958 
头 126736 
夷 2226 
夸 2626 
夹 4334 
夺 13248 
夼 32 
奁 3 
奂 275 
奄 305 
奇 29558 
奈 5250 
奉 8498 
奋 20590 
奎 1590 
奏 7220 
契 8367 
奔 10506 
奕 2311 
奖 80864 
套 46957 
奘 231 
奚 349 
奠 4279 
奢 3845 
奥 49992 
女 182672 
奴 1048 
奶 19633 
奸 3314 
她 110807 
好 312948 
妁 9 
如 229576 
妃 1220 
妄 1091 
妆 5446 
妇 30706 
妈 36637 
妊 1105 
妍 1403 
妒 285 
妓 169 
妖 1203 
妗 6 
妙 5635 
妞 596 
妣 2 
妤 119 
妥 7188 
妨 3757 
妩 104 
妪 46 
妫 36 
妮 2770 
妯 29 
妲 463 
妹 11320 
妻 22603 
妾 99 
姆 8915 
姊 270 
始 95827 
姐 17125 
姑 6379 
姒 25 
姓 25184 
委 295399 
